dataset,config,delta_accuracy_mean,delta_accuracy_std,delta_precision_macro_mean,delta_precision_macro_std,delta_recall_macro_mean,delta_recall_macro_std,delta_f1_macro_mean,delta_f1_macro_std
Breast Cancer,pca,-0.003527336860670194,0.006109526658091277,-0.0016310341520719973,0.0028250340202687217,-0.005742296918767524,0.009945950015451564,-0.003961118516726462,0.006860858525772101
Breast Cancer,lda,-0.001754385964912249,0.008039606482378631,-0.006692186116273831,0.010673715960965413,0.0023868702410541807,0.009373848059543636,-0.0015458076257817515,0.008421386755219374
Breast Cancer,pca_lda,-0.003536619326092986,0.011002964036041828,-0.0049190726311565776,0.015463218678162744,-0.0018207282913165572,0.007109826412603428,-0.003608031084630111,0.011448541137621317
LFW People,pca,0.0026468162019303763,0.009002047475618016,0.03138254101459481,0.027351122056139286,0.014108777297704609,0.0051225934382097115,0.02163417197691962,0.005738064491216352
LFW People,lda,-0.2371750918175943,0.01925385959035888,-0.23916559603296653,0.04698503997686498,-0.10765179611677984,0.011177046954204958,-0.1259965951395844,0.019213122442717348
LFW People,pca_lda,0.2044366681903921,0.019831680151669678,0.3064281642684886,0.03536446423467601,0.18596971258979997,0.00888249748596917,0.21624319275035686,0.010712830140960906
MNIST,pca,0.01397142918936726,0.0009650268383032613,0.013491925664085191,0.0009947338196199954,0.014298903314921415,0.001051288837139048,0.014141775787185376,0.001060594690934783
MNIST,lda,-0.029971439807991107,0.0007935847663355185,-0.031159504071477533,0.0006216834617592123,-0.030325930810678248,0.0007237891993083507,-0.030673686255897503,0.0006985378969339519
MNIST,pca_lda,-0.028399998583040615,0.0004581313725920953,-0.029680261820118403,0.00047566939633571464,-0.02875841409110021,0.0004391907286230259,-0.029149746498703572,0.0004737721845502755
