dataset,config,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
Breast Cancer,normal,0.9648658683746403,0.015153393805484526,0.9618521486203787,0.016879570500268108
LFW People,pca_lda,0.5173688282551242,0.012524784943959979,0.3900504452249942,0.005289247394400704
MNIST,pca,0.9580000036562742,0.00044486898854611683,0.9575283076111191,0.0004051297307268626
